Davik/2.1.0 (Linux; U; Android 11; Infinix X688B Build/RP1A.200720.011) [FBAN/MessengerLite;FBAV/324.0.0.2.95;FBPN/com.facebook.mlite;FBLC/en;FBBV/708710275;FBCR/Jazz;FBMF/INFINIX MOBILITY LIMITED;FBBD/Infinix;FBDV/Infinix X688B;FBSV/11;FBCA/arm64-v8a:armeabi-v7a:armeabi;FBDM/{density=2.25,height=,width=};]
Dalvik/2.1.0 (Linux; U; Android 10; Huawei K432P Build/QQ1B.133720.098) [FBAN/FB4A;FBAV/265.0.0.33.16;FBBV/572943168;FBRV/0;FBPN/com.facebook.katana;FBLC/vi_VN;FBMF/Huawei;FBBD/Huawei;FBDV/Huawei K432P;FBSV/10;FBCA/armeabi-v8a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 10; Honor T461 Max Build/QQ2A.585152.070) [FBAN/FB4A;FBAV/216.0.0.56.34;FBBV/121904289;FBRV/0;FBPN/com.facebook.katana;FBLC/pt_PT;FBMF/Honor;FBBD/Honor;FBDV/Honor T461 Max;FBSV/10;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 13; Oppo 728H Build/TD1A.237973.038) [FBAN/FB4A;FBAV/292.0.0.64.57;FBBV/358112231;FBRV/0;FBPN/com.facebook.katana;FBLC/bn_IN;FBMF/Oppo;FBBD/Oppo;FBDV/Oppo 728H;FBSV/13;FBCA/armeabi-v8a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 14; Realme X908T Build/TD1A.485415.056) [FBAN/FB4A;FBAV/289.0.0.26.77;FBBV/812413182;FBRV/0;FBPN/com.facebook.katana;FBLC/es_ES;FBMF/Realme;FBBD/Realme;FBDV/Realme X908T;FBSV/14;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 12; Nokia Asha 59J Build/SQ3A.754022.055) [FBAN/FB4A;FBAV/178.0.0.36.48;FBBV/182187840;FBRV/0;FBPN/com.facebook.katana;FBLC/el_GR;FBMF/Nokia;FBBD/Nokia;FBDV/Nokia Asha 59J;FBSV/12;FBCA/armeabi-v8a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 14; LM-402W Build/TQ1A.410445.024) [FBAN/FB4A;FBAV/115.0.0.95.87;FBBV/868072325;FBRV/0;FBPN/com.facebook.katana;FBLC/fa_IR;FBMF/LM;FBBD/LM;FBDV/LM-402W;FBSV/14;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 5; Sony Xperia Q26B Build/LVW5IC) [FBAN/FB4A;FBAV/323.0.0.59.51;FBBV/515533459;FBRV/0;FBPN/com.facebook.katana;FBLC/es_ES;FBMF/Sony;FBBD/Sony;FBDV/Sony Xperia Q26B;FBSV/5;FBCA/armeabi-v8a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 7; Oppo 391 Pro Build/NKQTY9) [FBAN/FB4A;FBAV/299.0.0.19.58;FBBV/890786239;FBRV/0;FBPN/com.facebook.katana;FBLC/bs_BA;FBMF/Oppo;FBBD/Oppo;FBDV/Oppo 391 Pro;FBSV/7;FBCA/armeabi-v8a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 10; LG-46W Build/QQ2A.218353.043) [FBAN/FB4A;FBAV/269.0.0.68.11;FBBV/592596929;FBRV/0;FBPN/com.facebook.katana;FBLC/fr_FR;FBMF/LG;FBBD/LG;FBDV/LG-46W;FBSV/10;FBCA/armeabi-v7a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
Dalvik/2.1.0 (Linux; U; Android 15; Nokia Asha E149T Build/TP1A.757130.061) [FBAN/FB4A;FBAV/301.0.0.86.40;FBBV/952387946;FBRV/0;FBPN/com.facebook.katana;FBLC/pt_BR;FBMF/Nokia;FBBD/Nokia;FBDV/Nokia Asha E149T;FBSV/15;FBCA/armeabi-v8a:armeabi;FBDM/{density=2.0,width=720,height=1440};FB_FW/1;]
